Index_1,w,c,y,atr,mtr
1,1,6.877231941565039,0.9066804348037849,-6.585067105868832,0.32420188373490133
2,1.0476,6.877253103995833,0.9067199430961281,-6.584759943089422,0.464307922642774
3,1.0975,6.8772744670826444,0.9067702637046319,-6.584362591452186,0.5754132532224909
4,1.1498,6.877296090972083,0.9068345317122533,-6.58384892774938,0.6634879066606165
5,1.2045,6.8773180551801065,0.9069168618224247,-6.583184682838869,0.7331692452522685
6,1.2619,6.877340468560592,0.9070228508433693,-6.5823232702085654,0.7884815710183126
7,1.3219,6.877363478824245,0.9071600371025442,-6.581201990324048,0.832219058352128
8,1.3849,6.877387297330705,0.907339138860521,-6.579731770380422,0.8669586927786526
9,1.4507999999999999,6.877412227715007,0.9075754381399551,-6.577785756091008,0.8944415021366495
10,1.5198999999999998,6.8774387332810445,0.9078920876117653,-6.575172013418833,0.9162351433225814
11,1.5923,6.877467557047345,0.9083259219047009,-6.571585695391958,0.9334968284003545
12,1.6681000000000001,6.877499992651818,0.9089405016856237,-6.566501855619309,0.9471516526346848
13,1.7474999999999998,6.877538602571162,0.9098604493927627,-6.558893901983765,0.9579454271188249
14,1.8307000000000002,6.877588932606634,0.9113655962755837,-6.546465392936504,0.966450611196074
15,1.9179,6.877668765526169,0.9143497119653289,-6.521923696725528,0.9730648415989175
16,2.0092,6.877865415932091,0.9234247051077322,-6.448214649108483,0.9777929888751071
17,2.1049,6.881342141194038,1.0680132519311618,-5.443124304638844,0.9685116992151407
18,2.2051000000000003,6.89366111342315,1.3569650287521606,-4.080205434448396,0.9349670918935697
19,2.3101,6.9234773842798925,1.7050053860441696,-3.0606777204048865,0.8715455599168462
20,2.4201,6.98248741867974,2.079680336476759,-2.3574810975560574,0.7746696019458231
21,2.5354,7.079082288696062,2.456790817649159,-1.8814346902638857,0.6522714968868581
22,2.6561000000000003,7.209620671467145,2.8118859053462173,-1.5639805149133357,0.5271007010787463
23,2.7826,7.361409391414325,3.1341177586599165,-1.3487979579178002,0.4216278972094577
24,2.9151,7.523207826917948,3.427016785893391,-1.1952643645883745,0.3447641675536349
25,3.0539,7.689996684123371,3.7008262958743545,-1.0779134358983844,0.29381133046144325
26,3.1993,7.861143455236103,3.965857196265657,-0.9822053760882612,0.2619709481874499
27,3.3516000000000004,8.037499004346184,4.229813421961172,-0.9002017825693035,0.24312539274406486
28,3.5111999999999997,8.220479094769297,4.49850657264922,-0.8273795896508308,0.23264628816526678
29,3.6784,8.411041704333629,4.775579045844045,-0.7612611211311331,0.22765848067188932
30,3.8535000000000004,8.60952035720413,5.063072052804509,-0.7004538484565296,0.22664372280608835
31,4.037,8.816748744306963,5.363398498480482,-0.6438735154221449,0.22826798482378463
32,4.2292000000000005,9.032292540501164,5.676954219693941,-0.5910455133083877,0.23233728037075152
33,4.4306,9.256627118342415,6.005439101922022,-0.5413739047624112,0.23815547003188653
34,4.6416,9.489350820068815,6.3492358270757325,-0.4945658152438362,0.24569449805694632
35,4.8626000000000005,9.730083424529491,6.7088384234728045,-0.45033801834994125,0.254845032718819
36,5.0941,9.978402059045377,7.084771171626944,-0.40842968916297995,0.2655436669251492
37,5.3366999999999996,10.234325506217882,7.4782769446880994,-0.3685405852062531,0.2774927180598683
38,5.5908,10.49705434253743,7.889375726370305,-0.3305304128755001,0.29074766264306573
39,5.857,10.766825701866797,8.31974582850829,-0.2941291625728981,0.30487306923930435
40,6.1358999999999995,11.04320495940866,8.770013185028654,-0.2592004967860922,0.3198422987674763
41,6.4281,11.326932046713814,9.242647049428442,-0.22550736668174118,0.33507547174478536
42,6.7342,11.618168568762622,9.739078589531553,-0.19294330176685143,0.35040686067612414
43,7.0548,11.917336899723516,10.261147726691867,-0.1614038913720614,0.3656043022728972
44,7.3907,12.225243095194461,10.811336332495637,-0.13078001823410526,0.38043105281146583
45,7.7425999999999995,12.54290263353768,11.3923922016315,-0.10098936303662515,0.3946234482522588
46,8.1113,12.871179516373578,12.006741172619622,-0.07199608381042116,0.40810009056430074
47,8.4975,13.210217644671541,12.655513841641143,-0.0438309980907472,0.42102039402758695
48,8.9022,13.562121018382376,13.343521593647992,-0.016382438713813396,0.43298425875244695
49,9.326,13.925974673221088,14.069746780419845,0.010218528410108783,0.44452045684390995
50,9.770100000000001,14.304964134130273,14.84130446834664,0.03613835531507812,0.4550040757903133
51,10.235000000000001,14.69612138104964,15.653046335111165,0.061133464603312294,0.46548949102391013
52,10.723,15.106416514979864,16.520364888171937,0.08558820478622813,0.47459160005662626
53,11.233,15.529117473949228,17.429554533922698,0.10903532022431771,0.48398021241992817
54,11.768,15.972711280243637,18.400090914611365,0.13192215438675717,0.49211360791325753
55,12.328,16.43287322112674,19.422986918185043,0.1539471611474323,0.5001946022288761
